"","headline","links","scrapetime","shortname","sentiment"
"1","Supreme Court denies Trump bid to withhold tax returns from Congress","https://www.washingtonpost.com/politics/2022/11/22/supreme-court-trump-taxes/",2022-11-23 00:15:06.242801,"washingtonpost",-0.35
"2","Saudi Arabia shocks Argentina with an upset for the history books","https://www.washingtonpost.com/sports/2022/11/22/saudi-arabia-world-cup-upset/",2022-11-23 00:15:06.242801,"washingtonpost",-1.15
"3","Advertisers are dropping Twitter. Musk can�t afford to lose any more.","https://www.washingtonpost.com/technology/2022/11/22/twitter-advertiser-exodus-musk/",2022-11-23 00:15:06.242801,"washingtonpost",0.25
"4","There�s an upside to crypto�s collapse","https://www.washingtonpost.com/opinions/2022/11/22/ftx-big-tech-congress-bipartisan-regulation-possible/",2022-11-23 00:15:06.242801,"washingtonpost",-0.75
"5","Linda Thomas-Greenfield�s journey from the segregated South to the United Nations","https://www.washingtonpost.com/podcasts/capehart/linda-thomasgreenfields-journey-from-the-segregated-south-to-the-united-nations/",2022-11-23 00:15:06.242801,"washingtonpost",0.3
"6","Republicans are still afraid of Trump","https://www.washingtonpost.com/opinions/2022/11/22/republicans-afraid-trump-presidential-contenders-2024/",2022-11-23 00:15:06.242801,"washingtonpost",-0.85
"7","The Supreme Court has lost its ethical compass. Can it find one fast?","https://www.washingtonpost.com/opinions/2022/11/22/supreme-court-ethics-alito-ginni-thomas/",2022-11-23 00:15:06.242801,"washingtonpost",0.5
"8","As Britain�s productivity falls, Brexit�s promise remains unfulfilled","https://www.washingtonpost.com/opinions/2022/11/22/brexit-britain-falling-productivity-gdp/",2022-11-23 00:15:06.242801,"washingtonpost",0.75
"9","The booster isn�t perfect, but still can help against covid","https://www.washingtonpost.com/opinions/2022/11/22/covid-vaccine-booster-variants/",2022-11-23 00:15:06.242801,"washingtonpost",0.75
"10","Why Trump and Kevin McCarthy should fear a Warnock victory","https://www.washingtonpost.com/opinions/2022/11/22/trump-kevin-mccarthy-gop-investigations-raphael-warnock/",2022-11-23 00:15:06.242801,"washingtonpost",-0.1
"11","Racist mascots are finally being banned. But that�s only a first step.","https://www.washingtonpost.com/opinions/2022/11/22/indian-racist-mascots-new-york-school-ban/",2022-11-23 00:15:06.242801,"washingtonpost",-1.6
"12","Listen: Is your kid ready for a phone?","https://www.washingtonpost.com/podcasts/post-reports/is-your-kid-ready-for-a-phone/",2022-11-23 00:15:06.242801,"washingtonpost",0.8
"13","Play: Today�s crossword puzzles and other games","https://www.washingtonpost.com/tablet/2022/08/15/crosswords/",2022-11-23 00:15:06.242801,"washingtonpost",0
"14","Carolyn Hax: Does �full-fledged recluse� mother-in-law need help?","https://www.washingtonpost.com/advice/2022/11/20/carolyn-hax-mother-in-law-recluse/",2022-11-23 00:15:06.242801,"washingtonpost",-0.8
"15","Cook: Thanksgiving turkey can be as simple as rub and roast","https://www.washingtonpost.com/news/voraciously/wp/2018/11/10/thanksgiving-turkey-can-be-as-simple-as-rub-and-roast/",2022-11-23 00:15:06.242801,"washingtonpost",0.8
"16","Sen. Lindsey Graham testifies before Georgia grand jury in election probe","https://www.washingtonpost.com/nation/2022/11/22/lindsey-graham-georgia-grand-jury/",2022-11-23 00:15:06.242801,"washingtonpost",0.5
"17","5:28 p.m.Analysis: The Proud Boys keep popping up at LGBTQ events","https://www.washingtonpost.com/politics/2022/11/22/graham-georgia-grand-jury-fauci/#link-4GCSVMF3PFBWTOEMSB7UB6FHYM",2022-11-23 00:15:06.242801,"washingtonpost",0.75
"18","4:34 p.m.The latest: Appeals panel grills Trump lawyer over Mar-a-Lago search","https://www.washingtonpost.com/politics/2022/11/22/graham-georgia-grand-jury-fauci/#link-P3D53XMQWZDH7FRFUZ4JKHICAU",2022-11-23 00:15:06.242801,"washingtonpost",-0.35
"19","Biden administration extends student loan payment freeze","https://www.washingtonpost.com/education/2022/11/22/student-loan-payment-pause-extension/",2022-11-23 00:15:06.242801,"washingtonpost",-0.1
"20","How the Colorado mass shooting unfolded � and ended � inside Club Q","https://www.washingtonpost.com/nation/2022/11/21/colorado-springs-clubq-shooting-what-happened/",2022-11-23 00:15:06.242801,"washingtonpost",-0.6
"21","The Giants are among 13 NFL teams that have never had a Black head coach. Why?","https://www.washingtonpost.com/sports/interactive/2022/ny-giants-head-coach-history/",2022-11-23 00:15:06.242801,"washingtonpost",-0.25
"22","NYC�s Black schools chief isn�t sure racial integration is the answer","https://www.washingtonpost.com/education/2022/11/17/david-banks-nyc-chancellor-race-equity-merit/",2022-11-23 00:15:06.242801,"washingtonpost",-0.25
"23","Daniel Craig revives �Knives Out� detective in scathingly fun �Glass Onion�","https://www.washingtonpost.com/movies/2022/11/22/glass-onion-a-knives-out-mystery/",2022-11-23 00:15:06.242801,"washingtonpost",0
"24","So many rainbows","https://www.washingtonpost.com/nation/2022/11/22/so-many-rainbows/",2022-11-23 00:15:06.242801,"washingtonpost",0
"25","Crypto exchange has substantial �missing� assets, FTX lawyer says","https://www.washingtonpost.com/business/2022/11/22/crypto-exchange-has-substantial-missing-assets-ftx-lawyer-says/",2022-11-23 00:15:06.242801,"washingtonpost",0.5
"26","I got my covid booster to help stay safe, and I hope other seniors join me","https://www.washingtonpost.com/dc-md-va/2022/11/22/milloy-covid-booster/",2022-11-23 00:15:06.242801,"washingtonpost",1.5
"27","District faces disability rights lawsuit over bike lane designs","https://www.washingtonpost.com/transportation/2022/11/22/disabilities-bike-lanes-lawsuit/",2022-11-23 00:15:06.242801,"washingtonpost",-1.3
"28","Russian bombs batter Kherson neighborhood in shadow of destroyed bridge","https://www.washingtonpost.com/world/2022/11/22/kherson-antonivka-shelling-bridge-ukraine/",2022-11-23 00:15:06.242801,"washingtonpost",-0.75
"29","France wins looking very much like France, and also unlike France","https://www.washingtonpost.com/sports/2022/11/22/france-australia-world-cup-group-stage/",2022-11-23 00:15:06.242801,"washingtonpost",1
"30","At Qatar�s World Cup, Biden�s envoy balances firmness and flattery","https://www.washingtonpost.com/national-security/2022/11/22/world-cup-blinken-qatar/",2022-11-23 00:15:06.242801,"washingtonpost",0.1
"31","The Proud Boys keep popping up at LGBTQ events","https://www.washingtonpost.com/politics/2022/11/22/proud-boys-keeping-popping-up-anti-lgbtq-events/",2022-11-23 00:15:06.242801,"washingtonpost",0.75
"32","Airlines try to avoid meltdowns as longer Thanksgiving travel period begins","https://www.washingtonpost.com/transportation/2022/11/21/airlines-thanksgiving-travel-holidays/",2022-11-23 00:15:06.242801,"washingtonpost",0.3
"33","An eco-friendly guide to getting your bathroom ready for guests","https://www.washingtonpost.com/home/2022/11/16/tips-sustainable-bathroom-products/",2022-11-23 00:15:06.242801,"washingtonpost",1.4
"34","Afghan refugees celebrate Thanksgiving with turkey, lentils","https://www.washingtonpost.com/dc-md-va/2022/11/21/afghan-refugees-first-thanksgiving/",2022-11-23 00:15:06.242801,"washingtonpost",1.3
"35","The Thanksgiving sheet-pan plan","https://www.washingtonpost.com/food/2020/11/10/thanksgiving-sheet-pan-plan/",2022-11-23 00:15:06.242801,"washingtonpost",0.8
"36","Saudi World Cup win over Argentina unites divided Mideast in celebration","https://www.washingtonpost.com/sports/2022/11/22/saudi-arabia-world-cup-upset-celebration/",2022-11-23 00:15:06.242801,"washingtonpost",1.25
"37","A draw was good for the USMNT. But at some point, �good� isn�t good enough.","https://www.washingtonpost.com/sports/2022/11/22/usmnt-world-cup-expectations-england/",2022-11-23 00:15:06.242801,"washingtonpost",0.5
"38","Denmark�s World Cup jerseys protest labor practices in Qatar","https://www.washingtonpost.com/sports/2022/09/28/denmark-world-cup-jerseys-qatar/",2022-11-23 00:15:06.242801,"washingtonpost",-0.9
"39","World Cup schedule, standings and groups","https://www.washingtonpost.com/sports/2022/11/16/world-cup-schedule/",2022-11-23 00:15:06.242801,"washingtonpost",0
"40","U.S.-England, Switzerland-Spain and other stunning World Cup upsets","https://www.washingtonpost.com/sports/2022/11/22/biggest-world-cup-upsets/",2022-11-23 00:15:06.242801,"washingtonpost",0.25
"41","Have questions about dining out? Ask our food critic.","https://www.washingtonpost.com/food/2022/11/09/tom-sietsema-live-chat/",2022-11-23 00:15:06.242801,"washingtonpost",-0.35
"42","Ditte Juul J�rgensen on E.U. climate agenda and COP27 climate talks","https://www.washingtonpost.com/washington-post-live/2022/11/28/ditte-juul-jrgensen-eu-climate-agenda-cop27-climate-talks/",2022-11-23 00:15:06.242801,"washingtonpost",0
"43","Appeals panel grills Trump lawyer over FBI search of Mar-a-Lago","https://www.washingtonpost.com/national-security/2022/11/22/trump-appeal-mar-a-lago-search/",2022-11-23 00:15:06.242801,"washingtonpost",-0.35
"44","LGBTQ club shooting suspect�s troubled past was obscured by a name change, records show","https://www.washingtonpost.com/national-security/2022/11/21/colorado-springs-qbar-shooter/",2022-11-23 00:15:06.242801,"washingtonpost",-2.7
"45","Bob Weir keeps the Grateful Dead alive � and always evolving","https://www.washingtonpost.com/music/2022/11/21/bob-weir-interview/",2022-11-23 00:15:06.242801,"washingtonpost",0.5
"46","RSV, covid and flu push hospitals to the brink � and it may get worse","https://www.washingtonpost.com/health/2022/11/20/hospital-capacity-rsv-flu-covid/",2022-11-23 00:15:06.242801,"washingtonpost",-1.75
"47","When to eat Thanksgiving dinner? It can be a thorny question.","https://www.washingtonpost.com/food/2022/11/21/thanksgiving-best-time-to-eat/",2022-11-23 00:15:06.242801,"washingtonpost",1.25
"48","Fauci urges updated coronavirus shots in �final message� from White House","https://www.washingtonpost.com/politics/2022/11/22/fauci-final-white-house-coronavirus/",2022-11-23 00:15:06.242801,"washingtonpost",0.4
"49","White House touts omicron-specific boosters ahead of feared winter covid wave","https://www.washingtonpost.com/health/2022/11/22/covid-bivalent-booster/",2022-11-23 00:15:06.242801,"washingtonpost",1.2
"50","The Georgia criminal investigation into Trump and his allies, explained","https://www.washingtonpost.com/national-security/2022/07/27/trump-georgia-investigation-explained/",2022-11-23 00:15:06.242801,"washingtonpost",-0.6
"51","The Supreme Court has lost the benefit of the doubt","https://www.washingtonpost.com/politics/2022/11/22/supreme-court-conservatives-alito-roberts/",2022-11-23 00:15:06.242801,"washingtonpost",-0.25
"52","House Democrats� path back to the majority could run through the Supreme Court","https://www.washingtonpost.com/politics/2022/11/22/house-democrats-path-back-majority-could-run-through-supreme-court/",2022-11-23 00:15:06.242801,"washingtonpost",0.75
"53","Carolyn Hax: Out of an abusive marriage, hoping friends didn�t give up","https://www.washingtonpost.com/advice/2022/11/22/carolyn-hax-abusive-marriage-friends/",2022-11-23 00:15:06.242801,"washingtonpost",0.7
"54","Ask Elaine: I finally made big changes but feel more unsure than ever","https://www.washingtonpost.com/advice/2022/11/22/ask-elaine-big-change-unsure-move/",2022-11-23 00:15:06.242801,"washingtonpost",0.15
"55","Miss Manners: Guest pointed out a burned-out bulb in the middle of dinner","https://www.washingtonpost.com/advice/2022/11/22/miss-manners-rude-guest-host/",2022-11-23 00:15:06.242801,"washingtonpost",0.7
"56","Ask Amy: I�m excited to move in with my boyfriend � except he�s so messy","https://www.washingtonpost.com/advice/2022/11/22/ask-amy-messy-boyfriend-move-in/",2022-11-23 00:15:06.242801,"washingtonpost",0.25
"57","What to know about the �winter blues� � and ways to treat it","https://www.washingtonpost.com/wellness/2022/11/29/seasonal-affective-disorder-prevalence-duration/",2022-11-23 00:15:06.242801,"washingtonpost",0
"58","My mother�s obsession with weight created an invisible war between us","https://www.washingtonpost.com/wellness/2022/11/22/weight-dieting-eating-disorders-mothers-daughters/",2022-11-23 00:15:06.242801,"washingtonpost",-0.9
"59","The �most common crippling hand condition� you�ve never heard of","https://www.washingtonpost.com/wellness/2022/11/20/dupuytrens-crippling-hand-disease-treatments/",2022-11-23 00:15:06.242801,"washingtonpost",-1
