query_time,dau,behaviors,mau,mau_lower,mau_upper,country,age_group,gender_alias
2024-05-31 19:42:47,15984,Lived in France (Formerly Expats - France),21300,19600,23000,DE,-,all
2024-05-31 19:42:57,890,Lived in Germany (Formerly Expats - Germany),1300,1200,1400,DE,-,all
2024-05-31 19:43:30,141568,Lived in Italy (Formerly Expats - Italy),160950,147900,174000,DE,-,all
2024-05-31 19:43:51,18074,Lived in Netherlands (Formerly Expats - Netherlands),22200,20400,24000,DE,-,all
2024-05-31 19:44:13,282592,Lived in Poland (Formerly Expats - Poland),318000,292200,343800,DE,-,all
2024-05-31 19:45:19,29587,Lived in Spain (Formerly Expats - Spain),35800,32900,38700,DE,-,all
2024-05-31 19:45:31,5267,Lived in Sweden (Formerly Expats - Sweden),7100,6500,7700,DE,-,all
2024-05-31 19:45:52,21899,Lived in United Kingdom (Formerly Expats - United Kingdom),30300,27800,32800,DE,-,all
2024-05-31 19:47:49,8295,Lived in France (Formerly Expats - France),10350,9500,11200,DE,-,M
2024-05-31 19:48:00,499,Lived in Germany (Formerly Expats - Germany),1000,1000,1000,DE,-,M
2024-05-31 19:48:31,75165,Lived in Italy (Formerly Expats - Italy),87900,80800,95000,DE,-,M
2024-05-31 19:48:52,9382,Lived in Netherlands (Formerly Expats - Netherlands),11750,10800,12700,DE,-,M
2024-05-31 19:49:14,112344,Lived in Poland (Formerly Expats - Poland),133950,123100,144800,DE,-,M
2024-05-31 19:50:18,14917,Lived in Spain (Formerly Expats - Spain),17850,16400,19300,DE,-,M
2024-05-31 19:50:29,2639,Lived in Sweden (Formerly Expats - Sweden),3700,3400,4000,DE,-,M
2024-05-31 19:50:49,12617,Lived in United Kingdom (Formerly Expats - United Kingdom),17150,15800,18500,DE,-,M
2024-05-31 20:37:50,8112,Lived in France (Formerly Expats - France),10550,9700,11400,DE,-,F
2024-05-31 20:38:01,665,Lived in Germany (Formerly Expats - Germany),1000,1000,1000,DE,-,F
2024-05-31 20:38:34,63300,Lived in Italy (Formerly Expats - Italy),70500,64800,76200,DE,-,F
2024-05-31 20:38:55,9206,Lived in Netherlands (Formerly Expats - Netherlands),10450,9600,11300,DE,-,F
2024-05-31 20:39:16,175528,Lived in Poland (Formerly Expats - Poland),188950,173600,204300,DE,-,F
2024-05-31 20:40:22,14476,Lived in Spain (Formerly Expats - Spain),17300,15900,18700,DE,-,F
