query_time,dau,behaviors,mau,mau_lower,mau_upper,country,age_group,gender_alias
2024-05-31 18:56:16,36387019,,44100000,40500000,47700000,DE,-,all
2024-05-31 18:56:27,3773880,Lives abroad,4300000,4000000,4600000,DE,-,all
2024-05-31 18:56:38,18471,Lived in Austria (Formerly Expats - Austria),23500,21600,25400,DE,-,all
2024-05-31 19:41:52,6124,Lived in Belgium (Formerly Expats - Belgium),7000,6400,7600,DE,-,all
2024-05-31 19:42:02,16334,Lived in Czech Republic (Formerly Expats - Czech Republic),19500,17900,21100,DE,-,all
2024-05-31 19:42:14,4274,Lived in Denmark (Formerly Expats - Denmark),5000,4600,5400,DE,-,all
2024-05-31 19:42:25,2285,Lived in Estonia (Formerly Expats - Estonia),2950,2700,3200,DE,-,all
2024-05-31 19:42:35,2225,Lived in Finland (Formerly Expats - Finland),2750,2500,3000,DE,-,all
2024-05-31 19:42:47,15984,Lived in France (Formerly Expats - France),21300,19600,23000,DE,-,all
2024-05-31 19:42:57,890,Lived in Germany (Formerly Expats - Germany),1300,1200,1400,DE,-,all
2024-05-31 19:43:08,55198,Lived in Hungary (Formerly Expats - Hungary),59400,54600,64200,DE,-,all
2024-05-31 19:43:19,3086,Lived in Ireland (Formerly Expats - Ireland),3050,2800,3300,DE,-,all
2024-05-31 19:43:30,141568,Lived in Italy (Formerly Expats - Italy),160950,147900,174000,DE,-,all
2024-05-31 19:43:41,15501,Lived in Lithuania (Formerly Expats - Lithuania),19050,17500,20600,DE,-,all
2024-05-31 19:43:51,18074,Lived in Netherlands (Formerly Expats - Netherlands),22200,20400,24000,DE,-,all
2024-05-31 19:44:02,2659,Lived in Norway (Formerly Expats - Norway),3250,3000,3500,DE,-,all
2024-05-31 19:44:13,282592,Lived in Poland (Formerly Expats - Poland),318000,292200,343800,DE,-,all
2024-05-31 19:44:24,32022,Lived in Portugal (Formerly Expats - Portugal),35350,32500,38200,DE,-,all
2024-05-31 19:44:34,270911,Lived in Romania (Formerly Expats - Romania),293600,269800,317400,DE,-,all
2024-05-31 19:44:45,49097,Lived in Russia (Formerly Expats - Russia),69400,63800,75000,DE,-,all
