"","headlines","news_url","date"
"1","Putin considers recognizing Ukrainian areas as independent","https://www.washingtonpost.com/",2022-02-21 18:16:01
"3","Ukraine requests U.N. Security Council meeting","https://www.washingtonpost.com/",2022-02-21 18:16:01
"4","Russian Security Council calls on Putin to recognize two Moscow-backed breakaway regions in Ukraine.","https://www.washingtonpost.com/",2022-02-21 18:16:01
"5","Photos show daily life near breakaway region","https://www.washingtonpost.com/",2022-02-21 18:16:01
"6","Putin may go to war to capture Ukraine. With Belarus, he did it without firing a shot.","https://www.washingtonpost.com/",2022-02-21 18:16:01
"8","U.S. claims Russia has list of Ukrainians ‘to be killed or sent to camps’ following a military occupation","https://www.washingtonpost.com/",2022-02-21 18:16:01
"10","Where Trump’s border wall left deep scars and open gaps, Biden plans repair job","https://www.washingtonpost.com/",2022-02-21 18:16:01
"12","Closing arguments in Arbery hate-crimes trial focus on whether racism caused his killing","https://www.washingtonpost.com/",2022-02-21 18:16:01
"14","Why George Washington has two birthdays — and neither falls on Presidents’ Day","https://www.washingtonpost.com/",2022-02-21 18:16:01
"16","Education, traditionally a strength, has Democrats on their heels","https://www.washingtonpost.com/",2022-02-21 18:16:01
"18","Court ruling on social cost of carbon upends Biden’s climate plans","https://www.washingtonpost.com/",2022-02-21 18:16:01
"20","McIlroy blasts Mickelson as more stars buck Saudi golf league, vow loyalty to PGA","https://www.washingtonpost.com/",2022-02-21 18:16:01
"22","Remember when Republicans wanted local authority?","https://www.washingtonpost.com/",2022-02-21 18:16:01
"24","Grandstanding Republicans try to protect unruly passengers","https://www.washingtonpost.com/",2022-02-21 18:16:01
"26","Washington, Lincoln and the work they left behind","https://www.washingtonpost.com/",2022-02-21 18:16:01
"28","Yes, Georgetown should fire an academic for a racist tweet","https://www.washingtonpost.com/",2022-02-21 18:16:01
"30","The DOJ is right to challenge Missouri’s absurd gun law","https://www.washingtonpost.com/",2022-02-21 18:16:01
"32","Trump’s legal problems are about to get a lot worse","https://www.washingtonpost.com/",2022-02-21 18:16:01
"34","Police regain control of most of Canada’s capital; holdouts persist","https://www.washingtonpost.com/",2022-02-21 18:16:01
"36","Bernie Madoff’s sister and her husband found dead in apparent murder-suicide, Florida police say","https://www.washingtonpost.com/",2022-02-21 18:16:01
"38","Meet the first woman of color to explore the South Pole solo","https://www.washingtonpost.com/",2022-02-21 18:16:01
"40","Loretta Lynch vs. Brian Flores: Evidence of the seductive nature of the NFL","https://www.washingtonpost.com/",2022-02-21 18:16:01
"42","Billionaire investor Carl Icahn takes on McDonald’s over pig welfare","https://www.washingtonpost.com/",2022-02-21 18:16:01
"44","Here comes Tuesday, 2-22-22. (It can mean anything you want it two.)","https://www.washingtonpost.com/",2022-02-21 18:16:01
"46","Nearly half of Washingtonians don’t like Commanders name, Post poll finds","https://www.washingtonpost.com/",2022-02-21 18:16:01
"48","Happy Presidents’ Day! Or … not?","https://www.washingtonpost.com/",2022-02-21 18:16:01
"50","Every U.S. medalist at the 2022 Winter Games","https://www.washingtonpost.com/",2022-02-21 18:16:01
"52","Photos: Highlights from the Closing Ceremonies","https://www.washingtonpost.com/",2022-02-21 18:16:01
"54","Jessie Diggins caps U.S. Olympic medal haul with a silver medal","https://www.washingtonpost.com/",2022-02-21 18:16:01
"56","Denied a medal ceremony, U.S. skaters are leading an anti-doping movement","https://www.washingtonpost.com/",2022-02-21 18:16:01
"58","California unveils plan to become first state to treat coronavirus as ‘endemic’","https://www.washingtonpost.com/",2022-02-21 18:16:01
"60","With Americans tired of pandemic, disease experts preach caution and face a ‘kill the messenger’ moment","https://www.washingtonpost.com/",2022-02-21 18:16:01
"62","A Rhodes scholar barista and the fight to unionize Starbucks","https://www.washingtonpost.com/",2022-02-21 18:16:01
"64","You shouldn’t cheat at Wordle. But here’s a weird way that you can.","https://www.washingtonpost.com/",2022-02-21 18:16:01
"66","Carolyn Hax: Is it stupid to stay with someone after an ‘unforgivable’ deception?","https://www.washingtonpost.com/",2022-02-21 18:16:01
"68","My lifelong dream hasn’t panned out. Should I give up or keep trying? ","https://www.washingtonpost.com/",2022-02-21 18:16:01
"70","The political comedy of the Capitol Steps could not survive covid — and the bitter national divide","https://www.washingtonpost.com/",2022-02-21 18:16:01
"72","George Takei: ‘I maintain that without optimism, we’ve already failed’","https://www.washingtonpost.com/",2022-02-21 18:16:01
"74","How a treaty signed in Marrakesh made the Library of Congress more accessible","https://www.washingtonpost.com/",2022-02-21 18:16:01
"76","They stayed until the restaurant started putting people out","https://www.washingtonpost.com/",2022-02-21 18:16:01
"78","Trump’s legal problems are about to get a whole lot worse","https://www.washingtonpost.com/",2022-02-21 18:16:01
"80","Russia-Ukraine live updates: Putin considers recognizing Ukrainian areas as independent","https://www.washingtonpost.com/",2022-02-21 18:16:01
"82","Rory McIlroy blasts Phil Mickelson as two more stars pledge loyalty to PGA Tour","https://www.washingtonpost.com/",2022-02-21 18:16:01
"88","Blinken says U.S. will use ‘every opportunity’ to prevent Russia-Ukraine war","https://www.washingtonpost.com/",2022-02-21 18:16:01
"90","Trump’s new social media app appears in App Store","https://www.washingtonpost.com/",2022-02-21 18:16:01
"92","With or without war, Ukraine gives Biden a new lease on leadership","https://www.washingtonpost.com/",2022-02-21 18:16:01
"94","Top 10 GOP presidential candidates for 2024, ranked","https://www.washingtonpost.com/",2022-02-21 18:16:01
"96","Queen Elizabeth II tests positive for coronavirus, has mild cold-like symptoms, palace says","https://www.washingtonpost.com/",2022-02-21 18:16:01
"98","Denied birth certificates, thousands of children in the UAE go without schooling and health care","https://www.washingtonpost.com/",2022-02-21 18:16:01
"100","A 91-year-old North Korean loyalist’s lonely battle against a long-dead U.S. general","https://www.washingtonpost.com/",2022-02-21 18:16:01
"102","Ukrainian Americans grieve, plead for peace as Russian conflict escalates","https://www.washingtonpost.com/",2022-02-21 18:16:01
"104","A year after Texas cold spell, study shows renewable energy could help prevent blackouts","https://www.washingtonpost.com/",2022-02-21 18:16:01
"106","Identical twins turn 100, reflect on life of ‘scandal’ and joy: ‘People love that we’re still together’","https://www.washingtonpost.com/",2022-02-21 18:16:01
"108","New Jersey’s governor blocked the growth of its best charter schools","https://www.washingtonpost.com/",2022-02-21 18:16:01
"110","Dads or students: Black men in college often face a choice","https://www.washingtonpost.com/",2022-02-21 18:16:01
"112","One dead after helicopters crash yards away from beaches in Calif., Fla.","https://www.washingtonpost.com/",2022-02-21 18:16:01
"114","One dead, five injured in shooting in Portland, Ore., near site of protests against police violence","https://www.washingtonpost.com/",2022-02-21 18:16:01
"116","Youngkin’s health department fielded questions about science behind masks-optional policy","https://www.washingtonpost.com/",2022-02-21 18:16:01
"118","United States lifts Mexican avocado ban — averting what could have been a costly crisis","https://www.washingtonpost.com/",2022-02-21 18:16:01
"120","Hops, hope and hardiness: How to start a craft beer pub in a pandemic","https://www.washingtonpost.com/",2022-02-21 18:16:01
"122","A record number of workers are becoming millionaires with their boring 401(k)s and IRAs","https://www.washingtonpost.com/",2022-02-21 18:16:01
"124","Russian drones shot down over Ukraine were full of Western parts. Can the U.S. cut them off?","https://www.washingtonpost.com/",2022-02-21 18:16:01
"126","Bowser’s crime fighting effort, Building Blocks DC, is shifting its structure","https://www.washingtonpost.com/",2022-02-21 18:16:01
"128","People convicted of felonies could serve on juries if Md. bill is passed","https://www.washingtonpost.com/",2022-02-21 18:16:01
"130","Fairfax County police launch internal probe after deaths of recruit and wife","https://www.washingtonpost.com/",2022-02-21 18:16:01
"132","What does it mean to protect national security? For some National Guard members, it means laundry duty.","https://www.washingtonpost.com/",2022-02-21 18:16:01
"134","Covid booster shots alongside jackpots at Maryland casinos? Yep.","https://www.washingtonpost.com/",2022-02-21 18:16:01
"136","Praying and protesting in Washington, they wait for news from Ukraine","https://www.washingtonpost.com/",2022-02-21 18:16:01
"138","D.C.-area forecast: Sunny and mild today before a rainy, unsettled workweek","https://www.washingtonpost.com/",2022-02-21 18:16:01
"140","Known coronavirus deaths and cases per 100,000","https://www.washingtonpost.com/",2022-02-21 18:16:01
"142","How comedian Donnell Rawlings would spend a perfect day in D.C.","https://www.washingtonpost.com/",2022-02-21 18:16:01
"144","El Mercat Bar de Tapas brings a dash of Spain to Rockville","https://www.washingtonpost.com/",2022-02-21 18:16:01
